Country,Movies count
US,3348
FR,3061
DE,1659
UK,1575
IT,1253
CA,1088
ES,934
BE,887
WestGermany,499
JP,411
CH,383
SE,365
NL,364
CN,352
HK,344
MX,334
DK,268
AU,218
LU,215
AR,213
AT,203
NO,200
IE,192
HU,184
IN,179
PT,171
PL,168
RU,140
CZ,140
RO,139
BR,129
GR,127
SouthAfrica,124
KR,111
TW,106
FI,102
BG,102
IL,96
Yugoslavia,89
AE,79
TR,78
HR,75
QA,70
SK,66
MA,65
UA,62
YU,62
NewZealand,61
SG,60
TH,59
BA,58
IS,57
SI,54
SovietUnion,52
PH,52
CO,50
CL,47
MK,44
IR,43
CU,42
LT,33
UY,33
LB,32
EG,30
TN,30
EE,30
DZ,29
MY,27
LV,27
MC,24
SK,23
MT,23
JO,22
AL,21
LI,21
CY,21
PS,20
VE,19
PE,18
GE,17
KE,16
AF,15
SN,15
ID,15
EastGermany,14
KZ,14
KH,14
IQ,13
IsleOfMan,12
PR,12
DM,11
PK,11
XK,11
BD,10
BY,10
ME,10
BF,9
BO,8
PA,8
ET,8
SA,8
AM,8
HT,7
NG,7
BS,7
VN,7
KY,7
CI,6
TJ,6
GT,6
NP,6
MR,5
EC,5
AW,5
BQ,5
ME,5
KG,4
CM,4
AO,4
GH,4
ML,4
PY,4
TT,4
TD,4
BH,4
MO,4
RW,4
AZ,4
JM,3
AD,3
CR,3
ZM,3
MQ,3
MN,3
FederalRepublicofYugoslavia,3
CD,3
UZ,3
BT,3
MD,3
FJ,3
MM,3
LA,3
SD,3
LK,2
BM,2
SY,2
LY,2
KW,2
BW,2
NI,2
Zaire,2
,2
CV,2
VG,2
LR,2
Reunion,2
WS,2
SO,2
SR,1
GA,1
KP,1
ZW,1
GW,1
GN,1
SJ,1
NE,1
GL,1
FO,1
MZ,1
YE,1
NC,1
PG,1
HN,1
LS,1
SZ,1
GQ,1
TZ,1
BN,1
SV,1
VU,1
BZ,1
CK,1
MV,1
DJ,1
GP,1
MW,1
HolySee(VaticanCityState),1
OM,1
GI,0
UG,0
MU,0
Korea,0
